ID,Ilac_Adi,Etkin_Madde,Firma
14041,TRACTOCILE 7.5 MG/ML ENJEKSIYONLUK SOLÜSYON,ATOSIBAN,FERRİNG İLAÇ SANAYİ VE TİCARET LTD. ŞTİ.
14042,TRACTOCILE 7.5 MG/ML INFÜZYON SOLÜSYONU IÇIN KONSANTRE,Atosiban,
14043,TRACUTİL İV İNFÜZYONLUK ÇÖZELTİ KONSANTRESİ,DEMİR / ÇİNKO / MANGAN / BAKIR /KROM /  SELENYUM / MOLİBDEN / İYOT / FLOR,B.BRAUN MEDİKAL DIŞ TİCARET A.Ş.
14044,TRADIL 200MG FILM TABLET,DEKSIBUPROFEN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14045,TRADIL 300MG FILM TABLET,DEKSIBUPROFEN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14046,TRADIL FORT 400MG FILM TABLET,DEKSIBUPROFEN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14047,TRADOLEX 100MG/2ML IM/IV/SC ENJEKSİYONLUK ÇÖZELTİ,TRAMADOL HCL,MENTA PHARMA İLAÇ SAN. VE TİC. LTD. ŞTİ.
14048,TRAJENTA 5 MG FİLM KAPLI TABLET,LİNAGLİPTİN,BOEHRİNGER INGELHEİM İLAÇ TİC. A.Ş.
14049,TRAJENTA DUO   2.5 MG/1000 MG FİLM KAPLI TABLET,"LİNAGLİPTİN, METFORMİN HİDROKLORÜR",BOEHRINGER INGELHEIM
14050,TRAJENTA DUO   2.5 MG/1000 MG FİLM KAPLI TABLET,"LİNAGLİPTİN, METFORMİN HİDROKLORÜR",BOEHRINGER INGELHEIM
14051,TRAJENTA DUO 2.5 MG/850 MG FILM,LINAGLIPTIN/METFORMIN HIDROKLORüR,BOEHRINGER INGELHEIM İLAÇ TİC. A.Ş.
14052,TRAKTUS %4 ŞURUP HAZIRLAMAK İÇİN GRANÜL,ASETİLSİSTEİN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14053,TRAKTUS 1200MG TEK KULLANIMLIK TOZ İÇEREN POŞET,ASETILSISTEIN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14054,TRAKTUS 600 MG TEK KULLANIMLIK TOZ İÇEREN 30 POŞET,ASETILSISTEIN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14055,TRAKTUS 900MG TEK KULLANIMLIK TOZ İÇEREN POŞET,ASETILSISTEIN,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14056,TRAMOSEL 100 MG/2 ML I.V./I.M./S.C. ENJEKSIYONLUK ÇöZELTI İçEREN AMPUL,TRAMADOL HIDROKLORüR,HAVER FARMA İLAÇ A.Ş.
14057,TRAMTURK 100 MG/2 ML IM/IV/SC ENJEKSIYONLUK/İNFüZYONLUK ÇÖZELTI,TRAMADOL HIDROKLORüR,TURK İLAÇ VE SERUM SAN. A.Ş.
14058,"TRANASİTİL 250 MG/2,5 ML IV ENJEKSİYONLUK ÇÖZELTİ",TRANEKSAMIK ASIT,TURKTIPSAN SAĞLIK TURİZM EĞİTİM VE TİCARET A.Ş.
14059,TRANASİTİL 250 MG/5 ML IV ENJEKSİYONLUK ÇÖZELTİ,TRANEKSAMIK ASIT,TURKTIPSAN SAĞLIK TURİZM EĞİTİM VE TİCARET A.Ş.
14060,TRANECAN 1000 MG/100 ML IV İNFÜZYONLUK ÇÖZELTİ,TRANEKSAMİK ASİT,Polifarma İlaç Sanayi ve Ticaret A.Ş.
14061,TRANEXEL 250 MG/ 5 ML IV ENJEKSIYONLUK ÇöZELTI,TRANEKSAMIK ASIT,HAVER FARMA İLAÇ A.Ş.
14062,"TRANEXEL 250 MG/2,5 ML IV ENJEKSIYONLUK ÇöZELTI",TRANEKSAMİK ASİT,HAVER FARMA İLAÇ A.Ş.
14063,TRANKO-BUSKAS DRAJE,HIYOSIN-N-BUTIL BROMID / MEDAZEPAM,ACTAVİS İLAÇLARI A.Ş.
14064,TRANKO-BUSKAS DRAJE (ÜRETİM YERİ : BİLİM),HIYOSIN-N-BUTIL BROMID / MEDAZEPAM,ACTAVIS İLAÇLARI A.Ş.
14065,TRANKO-BUSKAS DRAJE (ÜRETİM YERİ : NOBEL),HIYOSIN-N-BUTIL BROMID / MEDAZEPAM,ACTAVIS İLAÇLARI A.Ş.
14066,TRANKO-BUSKAS DRAJE-ÜRETİM YERİ:ABDİ İBRAHİM İLAÇ SAN. VE TİC. A.Ş.,HIYOSIN N BUTILBROMUR + MEDAZEPAM HCL,ACTAVİS İLAÇLARI A.Ş.
14067,TRANKO-BUSKAS DRAJE-ÜRETİM YERİ:ABDİ İBRAHİM İLAÇ SAN. VE TİC. A.Ş.,HIYOSIN N BUTILBROMUR + MEDAZEPAM HCL,ACTAVİS İLAÇLARI A.Ş.
14068,TRANSAMIN %10 AMPUL,TRANEKSAMIK ASIT,ACTAVİS İLAÇLARI A.Ş.
14069,TRANSAMIN 500 MG TABLET,TRANEKSAMIK ASIT,ACTAVİS İLAÇLARI A.Ş.
14070,TRANSAMINE %10 A/H IV/IM ENJEKSİYONLUK ÇÖZELTİ,TRANEKSAMİK ASİT,ACTAVİS İLAÇLARI A.Ş.
14071,TRANSAMINE %5 A/H IV/IM ENJEKSİYONLUK ÇÖZELTİ,TRANEKSAMİK ASİT,ACTAVİS İLAÇLARI A.Ş.
14072,TRANSAMİNE 500 MG FİLM TABLET,TRANEKSAMİK ASİT,ACTAVİS İLAÇLARI A.Ş.
14073,TRATEZ 10MG/10MG TABLET,EZETİMİB/ATORVASTATİN KALSİYIM,DROGSAN İLAÇLARI SAN. VE TİC. A.Ş.
14074,TRAUMAMINE % 6.9 AMINO ASIT SOLÜSYONU,KÜB IÇERIĞINE BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
14075,"TRAUMAMINE %6,9 AMINOASIT SOLÜSYONU(CAM ŞIŞEDE)",KT IÇERIĞINE BAKıNıZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
