ID,Ilac_Adi,Etkin_Madde,Firma
8561,MEXİA XR 28 MG UZATILMIŞ SALINIMLI MİKROPELLET KAPSÜL,MEMANTİN HİDROKLORÜR,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8562,MEXİA XR 7 mg+14 mg+21 mg+28 mg TEDAVİYE BAŞLAMA PAKETİ,MEMANTİN HİDROKLORÜR,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8563,MEXİA XR TEDAVİYE BAŞLAMA PAKETİ,MEMANTİN HİDROKLORÜR,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8564,MEXTU 1000 MG/40 ML IM/IV/IA/IT ENJEKSİYON VE İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,METOTREKSAT,ONKO İLAÇ SAN. VE TİC. A.Ş.
8565,MEXTU 50 MG/2 ML IM/IV/IA/IT ENJEKSIYON VE INFüZYON IçIN çöZELTI IçEREN FLAKON,METOTREKSAT,ONKO İLAÇ SAN. VE TİC. A.Ş.
8566,MEXTU 500 MG/20 ML IM/IV/IA/IT ENJEKSİYON VE İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,METOTREKSAT,ONKO İLAÇ SAN. VE TİC. A.Ş.
8567,MEXTU 5000 MG/50 ML IM/IV/IA ENJEKSİYON VE İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,METOTREKSAT,ONKO İLAÇ SAN. VE TİC. A.Ş.
8568,MIAMBUTOL 500 MG TABLET,ETAMBUTOL HCL,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
8569,MIBG-131I-MOLTEK 370-740 MBQ I.V. ENJEKSIYONLUK ÇöZELTI,İYOBENGUAN (131 I),MOLTEK SAĞLIK HİZMETLERİ ÜRETİM VE PAZARLAMA A.Ş.
8570,MICARDIS 40 MG TABLET,TELMISARTAN,BOEHRİNGER INGELHEİM İLAÇ TİCARET A.Ş.
8571,MİCARDİS 80 MG TABLET,TELMİSARTAN,BOEHRİNGER INGELHEİM İLAÇ TİC. A.Ş.
8572,MICARDIS PLUS 80 MG/12.5 MG TABLET,TELMISARTAN/HIDROKLOROTIYAZID,BOEHRİNGER INGELHEİM İLAÇ TİC. A.Ş.
8573,MİCATOR 40 MG TABLET,TELMİSARTAN,
8574,MİCATOR 80 MG TABLET,TELMİSARTAN,HUMANİS SAĞLIK A.Ş.
8575,MİCATOR PLUS 40/12.5 MG TABLET,TELMİSARTAN / HİDROKLOROTİYAZİD,
8576,MİCATOR PLUS 80/12.5 MG TABLET,TELMİSARTAN / HİDROKLOROTİYAZİD,HUMANİS SAĞLIK A.Ş.
8577,MİCATOR PLUS 80/25 MG TABLET,TELMİSARTAN / HİDROKLOROTİYAZİD,HUMANİS SAĞLIK A.Ş.
8578,MİCLAST 80MG/G TIRNAK CİLASI,SİKLOPİROKS,PİERRE FABRE DERMO KOZMETİK LTD ŞTİ
8579,MICOSEF 500MG FILM TABLET,METOPROLOL SÜKSINAT,ACTAVİS İLAÇLARI A.Ş.
8580,MİCROGYNON 150  MCG/30  MCG  KAPLI TABLET,"LEVONORGESTREL, ETİNİLESTRADİOL",BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
8581,MICTONORM 15 MG KAPLI TABLET,PROPIVERIN HIDROKLORÜR,RECORDATİ İLAÇ SANAYİ VE TİC. A.Ş.
8582,MICTONORM 5 MG KAPLI TABLET,PROPIVERIN HIDROKLORüR,Recordati İlaç San. ve Tic. A.Ş.
8583,MICTONORM SR 30 MG SÜREKLI SALIMLI KAPSÜL,PROPIVERIN HIDROKLORÜR,RECORDATI ILAÇ SAN. VE TIC. A.Ş.
8584,MICTONORM SR 30 MG SÜREKLI SALIMLI KAPSÜL,PROPIVERIN HIDROKLORÜR,RECORDATI ILAÇ SAN. VE TIC. A.Ş.
8585,MICTONORM SR 30 MG SÜREKLI SALIMLI KAPSÜL,PROPIVERIN HIDROKLORÜR,RECORDATI İLAÇ SAN. VE TİC. A.Ş.
8586,MICTONORM SR 30 MG SÜREKLI SALIMLI KAPSÜL,PROPIVERIN HIDROKLORÜR,
8587,MICTONORM SR 45 MG SÜREKLI SALIMLI KAPSÜL,PROPIVERIN HIDROKLORÜR,RECORDATI ILAÇ SAN. VE TIC. A.Ş.
8588,MICTONORM SR 45 MG SÜREKLI SALIMLI KAPSÜL,PROPIVERIN HIDROKLORÜR,
8589,MİDAJECT 15 MG/3 ML IM/IV/REKTAL  KULLANIM İÇİN ÇÖZELTİ,MIDAZOLAM,TÜM EKİP İLAÇ A.Ş.
8590,MİDAJECT 5 MG/5 ML IM/IV/REKTAL  KULLANIM İÇİN ÇÖZELTİ,MIDAZOLAM,TÜM EKİP İLAÇ A.Ş.
8591,MIDAJECT 50 MG/10 ML IM/IV/REKTAL  ENJEKSIYONLUK/İNFÜZYONLUK ÇÖZELTİ,MIDAZOLAM,TÜM EKİP İLAÇ A. Ş.
8592,"MIDAX %0,5 GÖZ DAMLASI, ÇÖZELTİ",TROPİKAMİD,WORLD MEDİCİNE İLAÇ SAN. VE TİC. A.Ş.
8593,"MİDAX %1 GÖZ DAMLASI, ÇÖZELTİ (ÜRETIM YERI: BAğCıLAR)",TROPİKAMİD,WORLD MEDİCİNE İLAÇ SAN. VE TİC. A.Ş.
8594,"MİDAX %1 GÖZ DAMLASI, ÇÖZELTİ (ÜRETIM YERI: ÇERKEZKöY)",TROPİKAMİD,WORLD MEDICINE İLAÇ SAN. VE TİC. A.Ş.
8595,"MİDAX %1 GÖZ DAMLASI, ÇÖZELTİ (ÜRETIM YERI: TOPKAPı)",TROPİKAMİD,WORLD MEDİCİNE İLAÇ SAN. VE TİC. A.Ş.
8596,MIDEON 25 MG YUMUşAK KAPSüL,MIDOSTAURIN,GENVEON İLAÇ SANAYİ VE TİCARET A.Ş.
8597,MİDİZOL  100 MG KAPSÜL,TEMOZOLOMİD,DEVA HOLDİNG A.Ş.
8598,MİDİZOL 140 MG KAPSÜL,TEMOZOLOMİD,DEVA HOLDİNG A.Ş.
8599,MİDİZOL 180 MG KAPSÜL,TEMOZOLOMİD,DEVA HOLDİNG A.Ş.
8600,MİDİZOL 20 MG KAPSÜL,TEMOZOLOMİD,DEVA HOLDİNG A.Ş.
8601,MİDİZOL 250 MG KAPSÜL,TEMOZOLOMİD,DEVA HOLDİNG A.Ş.
8602,MİDİZOL 5 MG KAPSÜL,TEMOZOLOMİD,DEVA HOLDİNG A.Ş.
8603,MİDOLAM 15 MG/3 ML IM/IV REKTAL ÇÖZELTİ İÇEREN AMPUL,MİDAZOLAM,PHARMADA İLAÇ SAN. VE TİC. A.Ş.
8604,MİDOLAM 5 MG/1 ML IM/IV REKTAL ÇÖZELTİ İÇEREN AMPUL,MİDAZOLAM,PHARMADA İLAÇ SAN. VE TİC. A.Ş.
8605,MİDOLAM 50 MG/10 ML IM/IV REKTAL ÇÖZELTİ İÇEREN AMPUL,MİDAZOLAM,PHARMADA İLAÇ SAN. VE TİC. A.Ş.
8606,MIDRISOL %0.5 GöZ DAMLASı,ATROPIN SüLFAT,Abdi İbrahim İlaç San. ve Tic. A.Ş.
8607,MIDRISOL %1 GöZ DAMLASı,ATROPIN SüLFAT,Abdi İbrahim İlaç San. ve Tic. A.Ş.
8608,MİFUNDEX ®  100 MG INFüZYONLUK çöZELTI HAZıRLAMADA KULLANıLACAK KONSANTRE IçIN TOZ,MİKAFUNGİN SODYUM,GENSENTA İLAÇ SANAYİ VE TİCARET A.Ş.
8609,MİFUNDEX ®  50 MG INFüZYONLUK çöZELTI HAZıRLAMADA KULLANıLACAK KONSANTRE IçIN TOZ,MİKAFUNGİN SODYUM,GENSENTA İLAÇ SANAYİ VE TİCARET A.Ş.
8610,MIGDIA 100MG EFERVESAN TABLET,MIGLITOL,VİTALİS İLAÇ SAN. TİC. A.Ş.
8611,MIGDIA 25MG EFERVESAN TABLET,MIGLITOL,VİTALİS İLAÇ SAN. TİC. A.Ş.
8612,MIGDIA 50MG EFERVESAN TABLET KUB,MIGLITOL,VİTALİS İLAÇ SAN. TİC. A.Ş.
8613,MİGELE 20 MG FİLM KAPLI TABLET,ELETRİPTAN HİDROBROMÜR,ALİ RAİF İLAÇ SANAYİ A.Ş.
8614,MİGELE 40 MG FİLM KAPLI TABLET,ELETRİPTAN HİDROBROMÜR,ALİ RAİF İLAÇ SANAYİ A.Ş.
8615,MIGLITEC 25 MG TABLET,MIGLITOL,NEUTEC İLAÇ SAN. TİC. A.Ş.
8616,MIGLITEC 50 MG,MIGLITOL,NEUTEC İLAÇ SAN. TİC. A.Ş.
8617,MIGLITEC 50MG TABLET,Miglitol,
8618,MİGPRİV ORAL SOLÜSYON İÇİN TOZ,"DL-LİZİN ASETİL SALİSİLAT, METOKLOPRAMİD HİDROKLORÜR",SANOFİ SYNTHELABO İLAÇ A.Ş.
8619,MİGREOUT 10 MG EFERVESAN TABLET,RİZATRİPTAN BENZOAT,NEUTEC İLAÇ SAN. TİC. A.Ş.
8620,MİGREOUT 5 MG EFERVESAN TABLET,RIZATRIPTAN BENZOAT,NEUTEC İLAÇ SAN. TİC. A.Ş.
8621,MIGREX 2.5 MG FILM KAPLI TABLET,FROVATRİPTAN,MENARİNİ İLAÇ SAN. VE TİC. A.Ş.
8622,MIGRYL 100MG TABLET,MIGLITOL,ALİ RAİF İLAÇ SANAYİ A.Ş.
8623,MIGRYL 50MG TABLET,MIGLITOL,ALİ RAİF İLAÇ SAN AŞ
8624,MIGTERA 2.5 MG FİLM KAPLI TABLET,ZOLMITRIPTAN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8625,MIGTERA 5 MG FİLM KAPLI TABLET,ZOLMITRIPTAN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8626,MİHADA 3 MG TABLET,MELATONİN,Hada İlaç San. ve Tic. Ltd. Şti.
8627,MİKAFUNGUS ®  50 MG I.V. INFüZYONLUK çöZELTI HAZıRLAMADA KULLANıLACAK KONSANTRE IçIN TOZ,MİKAFUNGİN SODYUM,POLİFARMA İLAÇ SAN. VE TİC. A.Ş.
8628,MİKAFUNGUS 100 MG I.V. INFüZYONLUK çöZELTI HAZıRLAMADA KULLANıLACAK KONSANTRE IçIN TOZ,MİKAFUNGİN SODYUM,POLİFARMA İLAÇ SAN. VE TİC. A.Ş.
8629,MİKASİN 100 MG/2ML IM/IV AMPUL,AMİKASİN SÜLFAT,FARMALAS İLAÇ SAN. VE TİC. LTD. ŞTİ.
8630,MİKASİN 500 MG/2ML IM/IV AMPUL,AMİKASİN SÜLFAT,FARMALAS İLAÇ SAN. VE TİC. LTD. ŞTİ.
8631,MİKO-PENOTRAN 1200 MG OVÜL ISTANBUL,MİKONAZOL NİTRAT,EMBİL İLAÇ SANAYİİ LTD. ŞTİ.
8632,MİKO-PENOTRAN VAJINAL OVÜL ÇERKEZKÖY,MİKONAZOL NİTRAT,EMBİL İLAÇ SAN.LTD.ŞTİ
8633,MIKOCEPT 500MG FILM KAPLI TABLET,MIKOFENOLAT MOFETIL,
8634,MIKOCEPT 500MG FILM KAPLI TABLET,MIKOFENOLAT MOFETIL,DROGSAN İLAÇLARI SAN. VE TİC. A.Ş.
8635,MIKODAY 500 MG TABLET,TERBINAFIN HIDROKLORÜR,VİTALİS İLAÇ SAN. TİC. A.Ş.
8636,MIKODERM %1 ÇöZELTI,TOLNAFTAT,ADEKA İLAÇ SANAYİ VE TİCARET A.Ş.
8637,MIKODERM POMAD,TOLNAFTAT,ADEKA İLAÇ SANAYİ VE TİCARET A.Ş.
8638,MIKONAFIN % 1 DERMAL SPREY,TERBINAFIN HCL,MÜNİR ŞAHİN İLAÇ SANAYİ VE TİCARET A.Ş.
8639,MİKONAFİN %1 DERMAL SPREY,TERBİNAFİN HİDROKLORÜR,UMUT İLAÇ TİC. VE SAN. LTD. ŞTİ.
8640,MİKONAFİN %1 DERMAL SPREY,TERBİNAFİN HİDROKLORÜR,UMUT İLAÇ TİC. VE SAN. LTD. ŞTİ.
8641,MIKONAFIN %1 DERMAL SPREY,TERBINAFIN HCL,
8642,MİKONAFİN %1 KREM,TERBİNAFİN HİDROKLORÜR,UMUT İLAÇ TİC. VE SAN. LTD. ŞTİ.
8643,MİKONAFİN %1 KREM,TERBİNAFİN  HİDROKLORÜR,MÜNİR ŞAHİN İLAÇ SANAYİ VE TİCARET A.Ş.
8644,MİKONAFİN 250 MG TABLET,TERBİNAFİN HİDROKLORÜR,MÜNİR ŞAHİN
8645,MİKONAFİN 250 MG TABLET,TERBİNAFİN HİDROKLORÜR,UMUT İLAÇ TİC. VE SAN. LTD. ŞTİ.
8646,MİKONİD 750 MG/200 MG/100 MG VAJİNAL OVÜL,"METRONİDAZOL, MİKONAZOL NİTRAT, LİDOKAİN",BERKO İLAÇ VE KİMYA SAN. A.Ş.
8647,MIKORAL ORAL SüSPANSIYON,NISTATIN,BİLİM İLAÇ SAN. VE TİC. A.Ş
8648,MİKOSTATİN 100.000 I.U./ML ORAL SÜSPANSİYON,NİSTATİN,DEVA ILAÇ HOLDING A.Ş.
8649,MIKOSTATIN ORAL SÜSPANSIYON,NISTATIN,
8650,MIKOTU 180 MG GASTRO REZISTAN TABLET,MİKOFENOLATSODYUM,KOÇSEL İLAÇ SANAYİ VE TİCARET A.Ş.
8651,MIKOTU 360 MG GASTRO REZISTAN TABLET,MİKOFENOLAT SODYUM,KOÇSEL İLAÇ SANAYİ VE TİCARET A.Ş.
8652,MİLASTO 10 MG + 20 MG + 30 MG FİLM KAPLI TABLET TEDAVİYE BAŞLAMA PAKETİ,APREMİLAST,FARMA-TEK İLAÇ SANAYİ VE TİCARET A.Ş
8653,MİLASTO 30 MG FİLM KAPLI TABLET,APREMİLAST,FARMA-TEK İLAÇ SANAYİ VE TİCARET A.Ş
8654,MILEVIT 300 MG/2 ML IM ENJEKSIYONLUK ÇöZELTI,DL-ALFA TOKOFEROL ASETAT,MILPHA İLAÇ SAN. TİC. LTD. ŞTİ.
8655,MİLİKON 40 MG/5 ML SÜSPANSİYON,SİMETİKON,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC. AŞ.
8656,"MİLİKON 66,6 MG/ML DAMLA",SİMETİKON,TOPRAK İLAÇ VE KİMYEVİ MAD. SAN. VE TİC. AŞ.
8657,MILODIL 10 MG/10 ML I.V. ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN KONSANTRE,MILRINON,TURKTIPSAN SAĞLIK TURİZM EĞİTİM VE TİC. A.Ş.
8658,MILOZ 15MG/3ML IV/IM ÇÖZELTI İÇEREN AMPUL,MIDAZOLAM,BİEM İLAÇ SAN. VE TİC. A.Ş
8659,MILOZ 5MG/5ML IV/IM ÇÖZELTI İÇEREN AMPUL,MIDAZOLAM,BİEM İLAÇ SAN. VE TİC. A.Ş
8660,MILRICOR 10 MG/10 ML IV ENJEKSIYON/İNFÜZYON İÇIN ÇÖZELTI İÇEREN AMPUL,MILRINON,VEM İLAÇ SAN. VE TİC. LTD. ŞTİ.
8661,MİNAFEN 120 MG/5ML ŞURUP,PARASETAMOL,DROGSAN İLAÇLARI SAN. VE TİC. A.Ş.
8662,MİNAMOL 1000 MG TABLET,PARASETAMOL,PHARMACTİVE İLAÇ SAN. VE TİC. A.Ş.
8663,MINAMOL 120 MG/5 ML ORAL SÜSPANSIYON,PARASETAMOL,PHARMACTİVE İLAÇ SAN. VE TİC. A.Ş.
8664,MİNAMOL 500 MG TABLET,PARASETAMOL,PHARMACTİVE İLAÇ SAN. VE TİC. A.Ş.
8665,MİNAMOL FORT 250 MG/5 ML ORAL SüSPANSIYON,PARASETAMOL,HUMANİS SAĞLIK A.Ş.
8666,MİNAMOL PLUS  250 MG/  150  MG/  50  MG  TABLET,"PARASETAMOL, PROPİFENAZON, KAFEİN",PHARMACTİVE İLAÇ SAN. VE TİC. A.Ş.
8667,MINAMOL PLUS 250 MG/5 ML ORAL SÜSPANSIYON,PARASETAMOL,PHARMACTİVE İLAÇ SAN. VE TİC. A.Ş.
8668,MİNAYA 3 MG/0.02 MG FİLM KAPLI TABLET,"DROSPİRENON, ETİNİLESTRADİOL",LADEE PHARMA ECZA TİC. LTD. ŞTİ.
8669,MINIRIN 0.1 MG/ML NAZAL SPREY,DESMOPRESSIN,FERRİNG İLAÇ SANAYİ VE TİCARET LTD. ŞTİ.
8670,"MİNİRİN İNTRANAZAL SOLÜSYON 0.1MG/ML, 2.5 ML",DESMOPRESSİN,FERRİNG İLAÇ SANAYİ VE TİCARET LTD. ŞTİ.
8671,MINIRIN MELT 120 MCG ORAL LIYOFILIZAT,DESMOPRESSIN,FERRİNG İLAÇ SANAYİ VE TİCARET LTD. ŞTİ.
8672,MINIRIN MELT 120 MIKROGRAM ORAL LIYOFILIZAT,DESMOPRESSIN ASETAT,
8673,MINIRIN MELT 240 MCG ORAL LIYOFILIZAT,DESMOPRESSIN ASETAT,
8674,MINIRIN MELT 240 MCG ORAL LIYOFILIZAT,DESMOPRESSIN ASETAT,FERRİNG İLAÇ SANAYİ VE TİCARET LTD. ŞTİ.
8675,MINIRIN MELT 60 MCG ORAL LIYOFILIZAT,DESMOPRESSIN,FERRİNG İLAÇ SANAYİ VE TİCARET LTD. ŞTİ.
8676,MINIRIN MELT 60 MIKROGRAM ORAL LIYOFILIZAT,DESMOPRESSIN ASETAT,
8677,MİNODERMO FORT %5 DERİ SPREYİ,MİNOKSİDİL,DERMOTEK İLAÇ GIDA VE DERNOKOZMETİK SAN. TİC. LTD. ŞTİ.
8678,MINOPAR 120 MG/5 ML ŞURUP,PARASETAMOL,BERAT BERAN İLAÇ SAN. TİC. LTD. ŞTİ.
8679,MINOPAR 500 MG TABLET,PARASETAMOL,BERAT BERAN İLAÇ SAN. TİC. LTD. ŞTİ.
8680,MINOPAR PLUS 250 MG / 5 ML PEDIYATRIK ORAL SüSPANSIYON,PARASETAMOL,Berat Beran İlaç San. ve Tic. Ltd. Şti.
8681,MİNOPECİA FORT %5 DERİ SPREYİ,MİNOKSİDİL,NEMESİS İLAÇ GIDA SAN.TİC.LTD.ŞTİ.
8682,MINOSET 500 MG TABLET,PARASETAMOL,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
8683,MINOSET PEDIATRIK ŞURUP,PARASETAMOL,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
8684,MINOSET PLUS 250 MG/150 MG/50 MGTABLET,"PARASETAMOL, PROPIFENAZON, KAFEIN",BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
8685,MINOTRIYOD 300 PARENTERAL INFÜZYON IÇIN ÇÖZELTI IÇEREN FLAKON,İOPAMIDOL,ADEKA İLAÇ SANAYİ VE TİCARET A.Ş.
8686,MINOTRIYOD 370 PARENTERAL INFÜZYON IÇIN ÇÖZELTI IÇEREN FLAKON,İOPAMIDOL,ADEKA İLAÇ SANAYİ VE TİCARET A.Ş.
8687,"MINOXIL    FORTE    %5    DERI    SPREYI,    ÇöZELTI",MINOKSIDIL,Pharmactive İlaç San. Tic. A.Ş.
8688,"MİNOXİL %2 DERI SPREYI, ÇöZELTI",MİNOKSİDİL,Humanis Sağlık A.Ş.
8689,MIOCHOL-E STERIL İNTRAOKÜLER SOLÜSYON,ASETILKOLIN KLORÜR,
8690,MİOL 100 MG TABLET,MİGLİTOL,HELBA İLAÇ İÇ VE DIŞ SAN. TİC. LTD.ŞTİ.
8691,MİOL 25 MG TABLET,MİGLİTOL,HELBA İLAÇ İÇ VE DIŞ SAN. TİC. LTD.ŞTİ.
8692,MİOL 50 MG TABLET,MİGLİTOL,HELBA İLAÇ İÇ VE DIŞ SAN. TİC. LTD.ŞTİ.
8693,MIOSTAT %0.01 STERIL INTRAOKÜLER SOLÜSYON,KARBAKOL,ALCON LABORATUVARLARI TİC. A.Ş.
8694,MIRANOVA 100 MCG/20 MCG KAPLı TABLET,LEVONORGESTREL + ETINILESTRADIOL,Bayer Türk Kimya San. Ltd. Şti.
8695,MIRATTA 600 MG GRANÜL İÇEREN SAŞE,ASETILSISTEIN,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
8696,MIRCERA 100 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8697,MIRCERA 120 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8698,MIRCERA 150 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8699,MIRCERA 200 MCG/1 ML S.C./I.V. ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8700,MIRCERA 200 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8701,MIRCERA 250 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8702,MIRCERA 30 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8703,MIRCERA 300 MCG/1 ML S.C./I.V. ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8704,MIRCERA 360 MIKROGRAM/0.6 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8705,MIRCERA 50 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8706,MIRCERA 75 MIKROGRAM/0.3 ML S.C./I.V. KULLANIMA HAZIR ŞIRINGA,METOKSI POLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8707,MIRCERA 800MCG/0.6ML SC/IV KULLANIMA HAZIR ŞIRINGA,METOKSIPOLIETILEN GLIKOL-EPOETIN BETA,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
8708,MIRENA 52 MG RAHIM IÇI SISTEM,LEVONORGESTREL,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.
8709,MİRES 15 MG FILM KAPLı TABLET,MIRTAZAPIN,NOBEL İLAÇ PAZARLAMA VE SAN. LTD. ŞTİ.
8710,MİRES 30 MG FILM KAPLı TABLET,MIRTAZAPIN,NOBEL İLAÇ PAZARLAMA VE SAN. LTD. ŞTİ.
8711,MİRES 45 MG FILM KAPLı TABLET,MIRTAZAPIN,NOBEL İLAÇ PAZARLAMA VE SAN. LTD. ŞTİ.
8712,MIRTARON 30 MG ÇENTIKLI FILM TABLET,MIRTAZAPIN,Sanofi İlaç San. Ve Tic. A.Ş.
8713,MİSİNTU 20 MG ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ,MİTOMİSİN,KOÇSEL İLAÇ SAN. VE TİC. A.Ş.
8714,MİSOL 100 MG FİLM KAPLI TABLET,SERTRALIN HCL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8715,MİSOL 50 MG FİLM KAPLI TABLET,SERTRALIN HCL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8716,MITAZEN 15MG/ML ORAL ÇÖZELTI,MIRTAZAPIN,SANOVEL İLAÇ SAN. VE TİC. A.Ş.
8717,MITAZEN 6MG/2ML I.V. İNFÜZYON İÇIN KONSANTRE ÇÖZELTI İÇEREN AMPUL,MIRTAZAPIN,SANOVEL İLAÇ SAN. VE TİC. A.Ş.
8718,MİTOFEN 1MG/5ML 100ML ŞURUP,KETOTIFEN HIDROJEN FUMARAT,
8719,"MİTOLON %0,1 GÖZ DAMLASI, SÜSPANSİYON",FLOROMETALON ASETAT,WORLD MEDİCİNE İLAÇ SAN. VE TİC. A.Ş.
8720,MITOMYCIN-C KYOWA 10 MG ENJEKTABL FLAKON,MITOMISIN-C,ONKO İLAÇ SAN. VE TİC. A.Ş.
8721,MITOMYCIN-C KYOWA 2 MG ENJEKTABL FLAKON,MITOMISIN-C,ONKO İLAÇ SAN. VE TİC. A.Ş.
8722,MITOMYCIN-C KYOWA 20 MG ENJEKTABL FLAKON,MITOMISIN-C,ONKO İLAÇ SAN. VE TİC. A.Ş.
8723,MİTOXANTRON ''EBEWE'' 20 MG/10 ML İV İNFÜZYON İÇİN KONSANTRE ÇÖZELTİ İÇEREN FLAKON,MİTOKSANTRON HCL,SANDOZ İLAÇ SANAYİ VE TİCARET A.Ş.
8724,MITOXANTRONE BAXTER 20 MG/10 ML ENJEKSİYONLUK ÇÖZELTİ,MITOKSANTRON,BAXTER TURKEY RENAL HİZMETLER A.Ş.
8725,MITOXANTRONE-KOÇAK 20 MG/10 ML IV İNFÜZYONLUK ÇÖZELTİ İÇEREN FLAKON,MİTOKSANTRON,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
8726,MIVUX 100 MG FILM KAPLI TABLET,LAMIVUDIN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8727,MIVUX 150 MG FİLM KAPLI TABLET,LAMIVUDIN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8728,MIVUX 300 MG FİLM KAPLI TABLET,LAMIVUDIN,NOBEL İLAÇ SAN. VE TİC. A.Ş.
8729,MİXAGİN 100 MG İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN TOZ,MİKAFUNGİN SODYUM,CENTURİON İLAÇ SAN. VE TİC. A.Ş.
8730,MİXAGİN 50 MG İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN TOZ,MİKAFUNGİN SODYUM,CENTURİON İLAÇ SAN. VE TİC. A.Ş.
8731,MİXOLEKS TEDAVİ PAKETİ,TENOKSİKAM+TİYOKOLŞİKOSİD,MUSTAFA NEVZAT İLAÇ SANAYİİ AŞ
8732,MİXOVUL 750 MG/ 200 MG/100 MG OVÜL,"METRONİDAZOL,MİKONAZOL NİTRAT,LİDOKAİN",BİİLİM İLAÇ SAN.VE TİC .A.Ş.
8733,MIXOVUL OVÜL,"METRONIDAZOL, MIKANAZOL NITRAT",
8734,MIXOVUL OVÜL,"METRONIDAZOL, MIKANAZOL NITRAT",BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.
8735,MIXTARD 30 HM 100 IU/ML  ENJEKSIYONLUK SÜSPANSIYON İÇEREN FLAKON,İNSAN İNSÜLIN,NOVO NORDİSK SAĞLIK ÜRÜNLERİ TİC. LTD. ŞTİ.
